/usr/bin/python2.7 /home/yashwanth/Downloads/AI/project2/yash/main.py
(1, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -2)
(2, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -3)
(3, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -4)
(4, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -5)
(5, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -6)
(6, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -7)
(7, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -8)
(8, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -9)
(9, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -10)
(10, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -11)
(11, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -12)
(12, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -13)
(13, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -14)
(14, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -15)
(15, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -16)
(16, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -17)
(17, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -18)
(18, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -19)
(19, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -20)
(20, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', -21)
(21, 'Pos:', 1, 2, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(22, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(23, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(24, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(25, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(26, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(27, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(28, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(29, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(30, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(31, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(32, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(33, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', -34)
(34, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -35)
(35, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -36)
(36, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -37)
(37, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -38)
(38, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -39)
(39, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -40)
(40, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -41)
(41, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -42)
(42, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -43)
(43, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -44)
(44, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -45)
(45, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -46)
(46, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -47)
(47, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -48)
(48, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -49)
(49, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -50)
(50, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -51)
(51, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -52)
(52, 'Pos:', 3, 5, 'action:', 0, 'reward:', -1, 'Bank:', -53)
(53, 'Pos:', 2, 5, 'action:', 0, 'reward:', -1, 'Bank:', -54)
(54, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -55)
(55, 'Pos:', 1, 5, 'action:', 0, 'reward:', -1, 'Bank:', -56)
(56, 'Pos:', 1, 4, 'action:', 0, 'reward:', -1, 'Bank:', -57)
(57, 'Pos:', 2, 4, 'action:', 0, 'reward:', -1, 'Bank:', -58)
(58, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -59)
(59, 'Pos:', 4, 4, 'action:', 0, 'reward:', -1, 'Bank:', -60)
(60, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -61)
(61, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -62)
(62, 'Pos:', 5, 5, 'action:', 1, 'reward:', 12, 'Bank:', -50)
(63, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -51)
(64, 'Pos:', 4, 4, 'action:', 2, 'reward:', 12, 'Bank:', -39)
(65, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -40)
(66, 'Pos:', 5, 5, 'action:', 1, 'reward:', 12, 'Bank:', -28)
(67, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(68, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(69, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(70, 'Pos:', 5, 5, 'action:', 0, 'reward:', -1, 'Bank:', -32)
(71, 'Pos:', 4, 5, 'action:', 0, 'reward:', -1, 'Bank:', -33)
(72, 'Pos:', 4, 4, 'action:', 2, 'reward:', 12, 'Bank:', -21)
(73, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(74, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(75, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(76, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(77, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(78, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(79, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(80, 'Pos:', 5, 4, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(81, 'Pos:', 5, 3, 'action:', 0, 'reward:', -1, 'Bank:', -30)
(82, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -31)
(83, 'Pos:', 3, 3, 'action:', 1, 'reward:', 12, 'Bank:', -19)
(84, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -20)
(85, 'Pos:', 1, 3, 'action:', 0, 'reward:', -1, 'Bank:', -21)
(86, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -22)
(87, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -23)
(88, 'Pos:', 2, 3, 'action:', 0, 'reward:', -1, 'Bank:', -24)
(89, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -25)
(90, 'Pos:', 3, 4, 'action:', 0, 'reward:', -1, 'Bank:', -26)
(91, 'Pos:', 3, 3, 'action:', 0, 'reward:', -1, 'Bank:', -27)
(92, 'Pos:', 3, 2, 'action:', 0, 'reward:', -1, 'Bank:', -28)
(93, 'Pos:', 4, 2, 'action:', 0, 'reward:', -1, 'Bank:', -29)
(94, 'Pos:', 4, 3, 'action:', 0, 'reward:', -1, 'Bank:', -30)
